syn_id,syn_def,syn_lemmas
syn_000137,以口語媒介表達出特定訊息。,吐出;說出;說出來
syn_000138,以口語進行稱呼的言談行為。,叫;喊;喚
syn_000139,以寬大的心胸接受和自己不同的對象。,包容;容
syn_000140,以對立的語氣態度回答，對別人先前說的話略帶不滿。,回;回話;回嘴
syn_000141,以強力取得後述地理空間。,據;佔領;占;略;据;佔
syn_000142,以強大的手段或方法壓制。,鎮壓;鎮
syn_000143,以後述對象為憑藉進行特定事件。,憑藉;憑;靠;依靠
syn_000144,以後述腳步行走。,踏;踩
syn_000145,以後述解釋定義前述對象。,謂;言
syn_000146,以後述陳述做為推測依據。,假設;設
syn_000147,以手將東西由低處拿高至視線可及的地方。,舉起;舉
syn_000148,以手或工具將附著在物體表面的粉塵狀物除去。,彈;撢
syn_000149,以手或手持物品從低處拿起東西。,撿;揀;拾
syn_000150,以手或手持物品快擊物體表面。,敲;扣;叩
syn_000151,以手或手持物在物體表面反覆摩擦。,擦;抹;拭
syn_000152,以手掌拉住或握住特定對象的手。,牽;攜
syn_000153,以手施力使手或手持物撞擊特定對象。,打;擊
syn_000154,以手用力關門或關窗。,摔;甩
syn_000155,以接近等值的物品或貨幣取代。,換成;換
syn_000156,以文字創作作品或紀錄事件。,寫出來;書
syn_000157,以文字媒介引述或陳述訊息。,曰;說道;謂;說;講;云;道;言
syn_000158,以文字媒介明確提供後述訊息。,詳;說明;載明
syn_000159,以文字或言語內容給特定對象，通常要求其接受或回應。,發;發出
syn_000160,以文字或記號提供後述訊息。,標示;標;示
syn_000161,以斥責的語氣叫他人離開。,滾;去
syn_000162,以新的同類對象替代原本的對象。,換成;換
syn_000163,以暴力、威脅的手段取得後述原來不屬於自己的財物。,劫;擄;搶;虜;打
syn_000164,以暴力的方式強制發生性關係。,姦;施暴;奸
syn_000165,以有毒物質使後述對象失去生命。,毒害;毒;藥
syn_000166,以架在肩膀上的槓桿支撐並搬運後述物體。,挑;擔
syn_000167,以條狀物纏繞並將特定物體固定在其他物體上。,綁;繫;縛;綑
syn_000168,以棒狀物或拳頭敲擊特定物體。,鎚;搥;捶;槌;錘
syn_000169,以欺騙的方式取得特定對象。,騙;拐
syn_000170,以殘忍的行為對待。,虐待;虐
syn_000171,以水或清潔劑去掉物體上的污垢。,洗;清洗
syn_000172,以水或清潔劑去掉衣物上的污垢。,洗衣服;洗衣
syn_000173,以水調製後述飲料或食品。,泡;沖
syn_000174,以營養物增加身體機能或使其回到正常狀態。,補;滋;潤
syn_000175,以物品向當舖抵押借錢。,當;典
syn_000176,以特定事件鼓勵特定對象，使其增加該事件正面精神特質。,激;激勵
syn_000177,以特定副食搭配主食食用。,搭;配;搭配
syn_000178,以特定原料或材料做成成品。,做;作
syn_000179,以特定原料或材料做成成品，強調動作的結果。,作出;做出
syn_000180,以特定原料或材料做成成品，通常是規模大、數量多。,製造;製;造
syn_000181,以特定媒介表現出後述對象。,顯示出;顯示;呈現;表現;呈現出
syn_000183,以特定對象的形象做造型以進行特定活動。,扮演;扮
syn_000184,以特定態度對待。,處;看
syn_000185,以特定方式互動。,對;待
syn_000186,以特定方式來測驗。,試;考試
syn_000187,以特定方式取得後述靈性存在物或動物的魂魄。,攝;定
syn_000188,以特定方法修飾後述對象的外表以達到不同的視覺效果。,修改;修;改
syn_000189,以特定標準來評量特定能力或特質。,測;測量
syn_000190,以特定語言或文字作為傳遞訊息的媒介。,用;使用
syn_000191,以登記的方式處罰犯錯或獎勵傑出行為。,記;敘;敍
syn_000192,以相當大的力量震動搖撼後述對象。,震撼;震
syn_000193,以眼神或其他肢體動作傳遞特定訊息。,作出;做;作;做出
syn_000194,以筆或其他工具畫出圖形或圖案。,畫圖;繪圖
syn_000195,以粉或口紅等修飾容貌。,畫;化妝;化
syn_000196,以聲或光的方式發出訊號。,發放;發;發出;放
syn_000197,以肢體的動作表示敬意。,行禮;施;行;敬
syn_000198,以腳越過障礙物。,跨越;跨
syn_000199,以膠、類似物質或特定方式使特定物體附著於後述物體上。,粘;黏;膠;黏附
syn_000200,以規定來約束或控制後述對象。,限制;侷限
syn_000201,以言語來嘲弄後述對象。,糗;虧
syn_000202,以言語取笑特定對象。,笑;嘲
syn_000203,以言語或行為引起他人的反應，藉以了解他人的意圖。,試;探
syn_000204,以言語或行為打擾或戲弄特定對象。,鬧;亂
syn_000205,以詢問的方式蒐集特定資訊。,訪;訪問
syn_000206,以話語抵觸。,頂;頂嘴
syn_000207,以語言文字制定出特定內容，通常有約束力。,立;訂;定
syn_000208,以語言文字或其他行為同意後述事件發生。,允許;允;准;俞
syn_000209,以跳的動作離開後述地點。,躍;跳
syn_000210,以身體蜷曲的姿勢待在特定地點。,窩;屈
syn_000211,以輕鬆的方式休息。,躺;歪;歇;趴
syn_000212,以金錢做為報酬請他人做事。,雇;請;僱
syn_000213,以鍵盤輸入文字。,敲;打
syn_000214,以電波或電腦為媒介傳送訊息。,發送;送;發;發出
syn_000215,以電腦可判讀的文字符號組成程式或程式碼。,寫;寫成;寫出來
syn_000216,估算價值。,估價;估
syn_000217,位於後述狀態。,身處;位處;處在;處於
syn_000218,位置分佈在所描述主體的四周。,環繞;包圍;環;繞;拱
syn_000219,位置在後述地點。,位;位處;處在;處於;位於
syn_000220,位置往高處移動。,上升;上昇;升
syn_000221,位置接近後述地方。,臨近;鄰近;接近
syn_000222,位置處於後述地點。,于;於;在
syn_000223,不確定的位置。,左;右;西;東
syn_000225,事件的發生在前述事物的範圍內。,上;上面
syn_000226,事物內部不屬於表面的範圍。,裡;裏;裡面;裡頭
syn_000227,事物整體的後半部。,後;後面;后
syn_000228,人造物約定俗成朝上或朝前最容易觀察到的面。,前;前面
syn_000229,人造物約定俗成朝下或朝後最不容易觀察到的面。,後;后;背;後面;反
syn_000230,以前述事物為主題的範圍。,上;上面
syn_000231,位置或順序在另一物體的後面。,之後;之后
syn_000232,前述對象的範圍內。,當中;中間;之中
syn_000233,前述物體的表面。,上;上面
syn_000234,同一物體內較低的部份。,下;下面
syn_000235,同一物體內較高的部份。,上;上面
syn_000236,在事件的過程中。,當中;中間;中;之中
syn_000237,在前述對象所包含的空間範圍。,中;內;裡;裏;內部;裡面;裡頭;際;以內;之內
syn_000238,在前述的機構或領域範圍。,中;內;裡;裏;內部;裡面;裡頭;以內;之內
syn_000239,在鏡頭檢視內的範圍。,下;之下;下面
syn_000240,容器供內容物進入的地方。,口;嘴;開口
syn_000241,指南針指向0或360度的方位。,北;北方
syn_000242,指南針指向270度的方位。,西;西方
syn_000243,指南針指向90度的方位。,東;東方
syn_000244,比喻受到前述事物的負面影響的範圍。,下;之下;下面
syn_000245,比喻在參考點之後的文本順序。,下;稍後;下面
syn_000246,比喻在特定對象不在的場合。,後;后;後面
syn_000247,比喻地位或等級較低的人物。,下;下面
syn_000248,比喻實際狀況不容易看清，好像被表象所遮蓋的狀況。,後;后;後面
syn_000249,比喻數量較多的方向。,上;上面
syn_000250,比喻數量較少的方向。,下;下面
syn_000251,比喻特定對象在前述對象的成功中扮演未被宣揚的角色。,後;後面
syn_000252,比喻程度較高的方向。,上;上面
syn_000253,比喻階級架構中低於前述階級的階級。,下;之下;下面
syn_000254,比喻階級架構較低的方向。,下;下面
syn_000255,比喻階級架構較高的方向。,上;上面
syn_000256,比喻順序較前的方向。,上;上面
syn_000257,比喻順序較後的方向。,下;下面
syn_000258,沒有明確指出的位置。,哪;那
syn_000259,物體正面的位置。,前;前面
syn_000260,物體的側邊。,旁邊;旁
syn_000261,物體背面的位置。,後;后;後面
syn_000262,特定地區中位於前述方向邊緣的地點。,首;邊;方;端;緣;旁
syn_000263,特定空間中，離說話者最近或最遠的一邊。,頭;端
syn_000264,空間範圍內北邊的區域。,北;北部;北方;北區
syn_000265,空間範圍內南邊的區域。,南;南部;南區
syn_000266,空間範圍外北邊的區域。,北;北部;北方
syn_000267,空間範圍與各端點距離大約相等的位置。,中;中央;中心
syn_000268,與參考物體面對的方向相反的方向。,後;後方;后;後面
syn_000269,與參考物體面對的方向相同的方向。,前方;前;前面
syn_000270,說話時間相關的事件點。,這裡;這兒;這裏;這邊;此
syn_000271,表靠近參考點的地方。,旁邊;邊;畔;旁;一旁;一邊
syn_000272,被前述物體覆蓋住的物體的位置。,下面;下;之下
syn_000273,詢問特定對象的位置。,那兒;那裏;那裡;哪裡;安
syn_000274,較低的或與天相反的方向。,下;下面
syn_000275,較高的或向天的方向。,上;上面
syn_000276,鄰近前述物體的底部或低於該物體位置。,下;之下;下面
syn_000277,離說話者或參考點較近的位置。,這裡;此;斯;這;這兒;這裏;這邊
syn_000278,離說話者或參考點較遠的位置。,那;那兒;那裏;那邊;那裡
syn_000279,順序在參考點之前的文本。,上;上面;以上
syn_000280,順序或次序排在整體的前半部。,前;前面
syn_000281,順序或次序排在整體的後半部。,後;后;後面
syn_000282,高於前述物體的位置。,上;上面;之上
syn_000283,住在固定的特定地方或區域。,居;居住
syn_000284,作弄、欺負他人。,整;弄
syn_000285,使事物產生或變化加快。,催;促
syn_000286,使兇猛的對象順從。,伏;降
syn_000287,使光源停止發出光線。,滅;熄
syn_000288,使兩個以上的人互相認識或產生聯繫。,介紹;介
syn_000289,使分散的後述對象聚集在一起。,集;聚集;聚;集合;群聚;摶
syn_000290,使分離、阻斷。,隔;分隔
syn_000291,使加長時間。,延長;增長
syn_000292,使動作或事件終止。,結束;結
syn_000293,使動物失去生命。,殺;幹;解決;做;作;處理;宰;刑
syn_000294,形容使原來激烈的特定情況平靜下來。,緩和;減緩;緩
syn_000295,使固體化為液體。,溶化;溶
syn_000296,使增加數值。,增高;增長
syn_000297,使增加文本從開始到結束的字數或加長篇幅。,延長;增長
syn_000298,使增加長度。,延長;增長
syn_000299,使後述事件的程度降低。,減低;減弱
syn_000300,使後述器官機能增強。,健;壯
syn_000301,使後述對象受到損害或程度降低。,敗;壞
syn_000302,使後述對象吸收熱量而稍微增加溫度。,暖;溫
syn_000303,使後述對象失去生命。,亡;死
syn_000304,使後述對象得到好處。,福利;有利於;利;惠
syn_000305,使後述對象得到極高的光榮。,耀;榮耀;顯
syn_000306,使後述對象感到快樂、高興。,悅;愉;娛
syn_000307,使後述對象挨餓。,餓;飢
syn_000308,使後述對象有污垢雜質的。,髒;汙;骯髒;污
syn_000309,使後述對象消耗精神體力。,疲憊;累
syn_000310,使後述對象發生氧化作用，產生光和熱。,燒;燃;燃燒;然;焚
syn_000311,使後述對象的數量變少。,省;減;撤;減少
syn_000312,使後述對象的路徑沒有阻礙。,通;疏;暢
syn_000313,使後述物體變濕。,濕;溼
syn_000314,使後述身體器官受到損害。,傷;傷害
syn_000315,使提高程度。,增高;增長
syn_000316,使損壞的物件恢復原來的功能或形狀。,修理;修
syn_000317,使液體受重力影響由上往特定目標落下。,澆;淋
syn_000318,使火停止燃燒。,滅;熄
syn_000319,使物品吸收天然或合成的有色物質，而改變物品的顏色。,染色;染
syn_000320,使物體吸收熱量而增加溫度。,燒;燙;加熱;熱
syn_000321,使物體所處的位置離地面的距離變大。,提升;提昇
syn_000322,使物體維持本身的軸心，做連續改變方向的運動。,轉;旋;扭
syn_000323,使物體釋出熱量而降低溫度。,冷卻;冷
syn_000324,使特定事件的目的容易達到。,方便;便利;便
syn_000325,使特定事物的重量變少。,減輕;減輕
syn_000326,使特定對象不受侵犯或損害。,護;保護;保衛;捍衛
syn_000327,使特定對象依固定路徑來回擺動。,搖;晃
syn_000328,使特定對象到達特定地點進行特定事件。,帶;攜
syn_000329,使特定對象受到損傷而無法自動復原。,損壞;毀;破壞;搗;摧
syn_000330,使特定對象形成一個角度或成弧狀。,彎;折;屈;拐;拗
syn_000331,使特定對象往更好的方向發展。,提升;提昇
syn_000332,使特定對象感到驚恐害怕。,聳;嚇
syn_000333,使特定對象的數量變多。,增;增加
syn_000334,使特定對象的程度加高。,增;添;增加
syn_000335,使特定對象跟著有支配權的人移動。,帶;攜
syn_000336,使特定對象遭遇不利的事。,害;禍
syn_000337,使特定對象遭遇危險或威脅。,危害;有害;危
syn_000338,使特定數量或數目減少。,降低;減低
syn_000339,使特定物體分散地落下。,灑;撒
syn_000340,使特定特質在下一代重現。,傳給;傳
syn_000341,使特定狀態持續下去，不改變。,維繫;維持;維;持;保;保持
syn_000342,使特定狀態消失或動作結束。,止;止住;息;弭
syn_000343,使特定通道無法通行。,阻;擋;攔
syn_000344,使用口攝入會令人上癮的物品。,抽;哈
syn_000345,使用後述口音或詞彙。,口操;操
syn_000346,使用後述工具。,施;使;運
syn_000347,使用後述手段進行特定事件。,施;使
syn_000348,使用後述材料製成前述物品。,用;採用;採;使用
syn_000349,使用後述語言。,說;講
syn_000350,使用後述負面手段進行特定事件。,耍;弄
syn_000351,使用會令人上癮的物品，通常用口或鼻攝入。,吃;吸食;吃下;吃下去;吸
syn_000352,使用特定方法醫治疾病。,治療;治;醫
syn_000353,使用者輸入已註冊的名字和密碼，取得使用權。,登錄;登
syn_000354,使用負面手段以達特定目的。,做;作
syn_000355,使監禁者得到自由。,放出;放出來
syn_000356,使船在水面上運動。,盪;蕩
syn_000357,使蓬勃興盛。,活絡;活
syn_000358,使身體特定部份肉變多。,胖;肥
syn_000359,使身體特定部位肉變少。,瘦;消
syn_000360,使物體經過口中吞入體內。,吃;啖;食;喀;啃;用;進
syn_000361,來回摩擦特定物體表面，使其光滑平整。,剉;挫
syn_000362,來回移動或晃動。,搖;擺;盪;晃;蕩
syn_000363,依據法定程序建立婚姻關係。,婚;結婚
syn_000364,依照已存在的內容重新書寫一遍。,抄;鈔
syn_000365,依照已有的方式去做。,仿照;影;仿
syn_000366,依照特定原則分發或安排特定對象。,配;分配
syn_000367,依照特定想法或概念創作出特定對象。,做;作;創
syn_000368,依照特定想法或概念創作出特定對象，強調動作的結果。,作出;做出
syn_000369,依照特定方法實際施行特定事件。,行;實施
syn_000370,依照特定條件挑出適合的後述對象。,甄選;拔
syn_000371,依照特定標準改變或更動後述對象。,調;調整;橋
syn_000372,依照特定標準選擇並調配原料。,配;搭配
syn_000373,依照特定規範做事。,遵守;守;遵
syn_000374,依照環境改變使達到均勻和諧。,調;調整
syn_000375,依規則在競爭中爭取勝利。,比;鬥;尬
syn_000376,依規則進行並評分。,比賽;賽
syn_000377,依規定交出後述對象。,繳;繳交
syn_000378,依靠其他對象而不能自己獨立。,仰賴;依賴;賴;仰
syn_000379,保護後述對象在一定標準之上。,維持;維;保
syn_000380,信徒向神佛行禮。,朝拜;拜
syn_000381,修剪整理植物。,修理;修
syn_000382,修復或改建建築物。,修改;改
syn_000383,修習宗教教義並實踐。,修行;修
syn_000384,修習知識和道理，並將其實踐在生活中。,修行;修
syn_000385,修補化過的妝。,補妝;補粧
syn_000386,倚靠特定物體以支撐。,頂;抵
syn_000387,做什麼事，通常為不客氣的語氣。,幹嗎;幹麼;幹嘛
syn_000388,做出後述事件成立的陳述。,認;承認
syn_000389,做出特定臉部表情。,擺;扮
syn_000390,做完特定事件，達到目標。,完全;成;完成;完;得
syn_000391,做特定動作使體溫升高、筋骨舒展。,暖;熱;熱身;暖身
syn_000392,做，取代整個事件，強調動作的結果。,作出;做出
syn_000393,停止發出光線。,滅;熄
syn_000394,停留在特定地點。,停;停留
syn_000395,傳授思想或知識。,傳教;傳道
syn_000396,傳送信件或包裹給特定對象。,寄;郵
syn_000397,傾斜容器使內容物掉出。,倒;傾
syn_000398,允許後述事件發生。,許可;許
syn_000399,允許後述事件行為隨意地發生。,任由;任憑;任
syn_000400,光照射特定對象。,打;投
syn_000401,光線投射至特定位置。,照;燭;映;照射
syn_000402,克制不住。,忍不住;禁不住
syn_000403,克服阻力將物品放入可容納物品的空間中。,塞;填
syn_000404,全心全意為他人做事，而不改變心意。,忠;忠於
syn_000405,全體中的所有個體單位，強調各個個體都適用。,每;一;壹
syn_000406,兩個以上數值合併計算其和。,加上;加;的;加入
syn_000407,兩個特定對象之間的差異為。,相差;相去;差距
syn_000408,兩物體在空間上相連。,接連;銜接;連接;連;接;搭
syn_000409,公佈消息或新聞。,發;發出
syn_000410,公布讓大家知道。,公告周知;公告週知;周知;週知
syn_000412,公開作品或商品，使其在銷售管道流通。,發;發行
syn_000413,公開傳播出去。,傳世;公諸於世
syn_000414,公開出價競賣。,拍賣;拍
syn_000415,公開出版作品或宣讀文字。,發;發表
syn_000416,公開告訴大眾後述事件。,宣布;宣佈
syn_000417,公開表明後述訊息希望得到支持。,呼籲;籲;呼
syn_000418,具備後述能力。,會;知道;曉得;懂;懂得;知
syn_000419,具有個人意願而特地做特定事件。,專門;專程;專
syn_000420,比喻具有後述意義或情感。,包含;蘊含;含;帶有;帶;含有;摻
syn_000421,具有後述身份並擁有相關證件。,持有;具;拿
syn_000422,具有特定意圖。,有意;有心
syn_000423,具有特定訊息或知識。,曉得;知道;曉
syn_000424,具法律效應的代理行為。,委託;委托
syn_000425,出任職務或掌權。,上台;上臺
syn_000426,出於自發的意願而進行。,自願;志願
syn_000427,分佈在範圍內的所有地方。,遍及;布;遍;佈
syn_000428,分配發送。,分發;派
syn_000429,分開或張開的物體集中在一起。,攏;攢
syn_000430,切開後述體積較大帶有厚殼的水果。,殺;開;打開
syn_000431,列舉相類似的事物。,等等;之類;的
syn_000432,初步決定要做後述事件。,預定;計算;準備;打算
syn_000433,判斷並做出陳述。,下;作出;做;作;做出
syn_000434,利用光電效應的通訊方式，通過有線電或無線電裝置把照片圖表、書信、文件等真跡傳送到遠方。,傳真;電傳
syn_000435,利用印刷的方式複製後述以紙張呈現的特定對象。,印;刷
syn_000436,利用強光裝置把圖片或影片上的形象照射在幕上或牆上。,放映;投
syn_000437,利用水蒸氣加熱食物。,炊;蒸
syn_000438,利用特定對象的特定功能。,用;使用
syn_000439,利用特定時機獲得競爭上的優勢。,乘;搭
syn_000440,利用特定現象來預測吉凶禍福。,占卜;占;候;卜
syn_000441,利用特定軟體，以輸入文字或符號的方式來傳送或交換訊息。,敲;打
syn_000442,利用特性來識別後述對象。,分辨;辨
syn_000443,利用磁力或引力將後述物體引到特定位置。,吸;吸引
syn_000444,利用線條、色彩在平面上做出特定形象。,畫;繪
syn_000445,利用線條畫出特定物體的輪廓。,勾;鉤
syn_000446,利用鉤型符號或其他方式標記或選取。,勾;鉤
syn_000447,利用開關裝置使機器或輸送管道停止運作。,關;關閉
syn_000448,利用開關裝置使機器運作。,開;打開;啟
syn_000449,利用開關裝置使輸送管道流通。,開;打開
syn_000450,利用電磁束的移動來複製物體的圖像。,掃瞄;掃
syn_000451,利用電話裝置與人通話。,打;打電話;掛;電;摳
syn_000452,到國外求學。,遊;留學;留
syn_000453,到神的面前恭敬地把香插進香爐裡。,進香;進
syn_000454,制止、不允許作特定動作或行為。,禁;禁止
syn_000455,刻意向較有權力的人或機構陳述特定對象的過錯。,告狀;告
syn_000456,削減特定對象的規模或程度。,縮短;縮
syn_000457,前往或抵達後述地點。,到;走到
syn_000458,前往特定地點實地觀看後述對象。,走;參觀
syn_000459,前述事件因特定理由而仰賴後述對象。,需;需要
syn_000460,前述事件有利於後述事件。,便於;俾利
syn_000461,前述事件發生時後述事件跟著一起發生。,挾;夾
syn_000462,前述事件的程度接近後述事件。,逼;追
syn_000463,前述事件與後述事件不相等。,匪;非
syn_000464,前述事件達到後述事件的必要條件。,足;足以;足堪;可資
syn_000465,前述事物的代稱。,此;斯;今;是
